mac,brand
74-E2-0C,Amazon Technologies Inc.
10-54-03,INTARSO GmbH
00-0C-04,Tecnova
84-47-09,Shenzhen IP3 Century Intelligent Technology Ltd
00-91-EB,Renesas Electronics (Penang) Sdn. Bhd.
44-9F-46,Huawei Device Ltd
34-51-84,Huawei Device Ltd
FC-F7-7B,Huawei Device Ltd
8C-AE-DB,Nagtech LLC
DC-F5-6E,Wellysis Corp.
00-00-60,Kontron Europe GmbH
60-FC-F1,Private
E8-4F-A7,Huawei Device Ltd
C0-D0-63,EM Microelectronic
7C-10-C9,ASUSTek Computer Inc.
00-C0-6F,Komatsu Ltd
A8-67-1E,Ratp
8C-E9-B4,Zhejiang Dahua Technology Ltd
08-85-5B,Kontron Europe GmbH
E4-B5-03,Realme Chongqing Mobile Telecommunications Corp Ltd
EC-F4-0C,Cisco Systems Inc.
10-06-ED,Cisco Systems Inc.
D4-EB-68,Cisco Systems Inc.
C4-4D-84,Cisco Systems Inc.
20-53-83,Huawei Technologies Ltd
B8-85-7B,Huawei Technologies Ltd
24-21-AB,Sony Corporation
00-22-98,Sony Corporation
00-1B-59,Sony Corporation
8C-64-22,Sony Corporation
B8-F9-34,Sony Corporation
40-B8-37,Sony Corporation
E0-63-E5,Sony Corporation
4C-21-D0,Sony Corporation
1C-7B-21,Sony Corporation
00-0F-DE,Sony Corporation
3C-01-EF,Sony Corporation
10-2C-EF,EMU Electronic AG
6C-CF-39,Guangdong Starfive Technology Ltd
B4-CD-F5,CUB Elecparts Inc.
D8-8C-73,ZTE Corporation
38-65-B2,Apple
D8-DE-3A,Apple
E8-78-65,Apple
A0-4E-CF,Apple
50-D0-65,ESYLUX GmbH
08-87-C7,Apple
8C-1D-96,Intel Corporation
60-DD-8E,Intel Corporation
90-59-3C,AZ-Technology SDN BHD
1C-C1-0C,Intel Corporation
F4-A4-75,Intel Corporation
38-FF-13,Joint Stock Company Research Instinite Masshtab
D0-DB-B7,Casa Systems
28-64-EF,Shenzhen Fsan Intelligent Technology Ltd
C8-9E-43,Netgear
7C-C2-55,Super Micro Computer Inc.
18-07-12,Shenzhen Dazoo Technologies Ltd
20-BE-CD,eero Inc.
00-08-AC, BST GmbH
BC-09-1B,Intel Corporation
00-BF-AF,Hui Zhou Gaoshengda Technology Ltd
00-64-AF,Dish Technologies Corp
04-EC-D8,Intel Corporation
F0-2A-2B,IEEE Registration Authority
00-25-DF,Private
D0-49-7C,OnePlus Technology (Shenzhen) Ltd
B4-EC-FF,Wuhan IPG Technologies Ltd
F0-57-A6,Intel Corporation
64-26-77,BKM-Micronic Richtfunkanlagen GmbH
4C-2F-D7,Huawei Device Ltd
D4-74-15,Huawei Device Ltd
50-58-6F,Huawei Device Ltd
F0-B1-3F,Huawei Device Ltd
1C-E6-39,Huawei Technologies Ltd
20-D7-78,Texas Instruments
70-07-77,OnTarget Technologies Inc.
10-F6-05,Realme Chongqing Mobile Telecommunications Corp Ltd
5C-8F-40,Tecno Mobile Limited
10-3F-44,Xiaomi Communications Ltd
9C-BC-F0,Xiaomi Communications Ltd
50-98-39,Xiaomi Communications Ltd
74-15-75,Xiaomi Communications Ltd
9C-5A-81,Xiaomi Communications Ltd
5C-D0-6E,Xiaomi Communications Ltd
90-F1-57,Garmin International
FC-5C-45,Ruckus Wireless
E0-CB-56,Shenzhen iComm Semiconductor Ltd
4C-02-20,Xiaomi Communications Ltd
40-E1-E4,Nokia Solutions and Networks GmbH & Co. KG
E4-46-B0,Fujitsu Client Computing Limited
80-CB-BC,Qingdao Intelligent & Precise Electronics Ltd
E0-75-AA,Beijing Jingling Information System Technology Ltd
54-CE-82,ZTE Corporation
F4-CE-48,Extreme Networks Inc.
58-48-49,IEEE Registration Authority
70-89-76,Tuya Smart Inc.
08-99-E8,KEMAS GmbH
18-F8-7F,Wha Yu Industrial Ltd
44-4F-8E,WiZ
04-B8-6A,BSkyB Ltd
1C-88-0C,Shenzhen Skyworth Digital Technology Ltd
EC-35-4D,Wingtech Mobile Communications Ltd
80-61-5F,Beijing Sinead Technology Ltd
44-AE-44,Huawei Device Ltd
20-B0-01,Technicolor Delivery Technologies Belgium NV
7C-39-85,Huawei Technologies Ltd
A4-B1-E9,Technicolor Delivery Technologies Belgium NV
30-56-96,Infinix mobility limited
7C-B0-73,Realme Chongqing Mobile Telecommunications Corp Ltd
B0-E9-FE,Woan Technology (Shenzhen) Ltd
00-BD-3E,Vizio Inc.
C8-96-65,Microsoft Corporation
0C-E5-A3,SharkNinja
6C-91-06,Private
40-91-51,Espressif Inc.
CC-3F-8A,Komatsu Ltd
34-31-7F,Panasonic Appliances Company
F4-EE-08,Dell Inc.
10-00-20,Apple
94-64-24,Aruba Networks HP
BC-1E-85,Huawei Technologies Ltd
B8-56-00,Huawei Technologies Ltd
B8-59-CE,Earda Technologies Ltd
8C-7A-3D,Xiaomi Communications Ltd
30-5F-77,New H3C Technologies Ltd
7C-24-99,Apple
8C-7A-AA,Apple
9C-36-F8,Hyundai Kefico
E0-B7-2E,Shenzhen Qualmesh Technology Ltd
80-C3-BA,Sennheiser electronic GmbH & Co. KG
04-42-1A,ASUSTek Computer Inc.
2C-E0-32,TCL King Electrical Appliances(Huizhou) Ltd
A0-D2-B1,Amazon Technologies Inc.
80-6D-71,Amazon Technologies Inc.
08-16-05,Vodafone Italia S.p.A.
20-7C-14,Qotom
1C-53-F9,Google Inc.
2C-B0-FD,Shenzhen MiaoMing Intelligent Technology Ltd
C4-FB-C8,Shenzhen Candour Ltd
E8-01-15,CoOCAA Network Technology Co.,TD.
8C-EA-12,Shenzhen MiaoMing Intelligent Technology Ltd
88-AC-9E,Shenzhen YOUHUA Technology Ltd
C8-BD-4D,Samsung Electronics Ltd
2C-15-BF,Samsung Electronics Ltd
3C-E4-B0,Texas Instruments
B4-B0-24,TP-Link Corporation Limited
18-F2-2C,TP-Link Technologies Ltd
98-97-CC,TP-Link Technologies Ltd
04-38-55,Scopus International-Belgium
E8-97-9A,Quectel Wireless Solutions Ltd
5C-A6-E6,TP-Link Corporation Limited
B8-8A-72,Renesas Electronics (Penang) Sdn. Bhd.
C4-36-C0,Buffalo Inc.
2C-53-D7,Sonova AG
0C-C4-13,Google Inc.
D4-8F-A2,Huawei Device Ltd
88-81-B9,Huawei Device Ltd
74-63-C2,Huawei Device Ltd
90-8D-6E,Dell Inc.
3C-38-F4,Sony Corporation
DC-A7-82,Huawei Technologies Ltd
04-51-70,Zhongshan K-mate General Electronics Ltd
38-45-54,Harman/Becker Automotive Systems GmbH
88-D8-2E,Intel Corporation
18-0E-AC,Shenzhen Fast Technologies Ltd
4C-EA-AE,Guangdong Oppo Mobile Telecommunications Corp Ltd
50-54-7B,Nanjing Qinheng Microelectronics Ltd
14-49-20,Huawei Technologies Ltd
D4-1A-D1,ZyXEL Communications Corp
B8-45-F4,New H3C Technologies Ltd
EC-01-D5,Cisco Systems Inc.
90-F3-B8,China Mobile Group Device Ltd
38-56-3D,Microsoft Corporation
10-BC-97,Vivo Mobile Communication Ltd
CC-81-2A,Vivo Mobile Communication Ltd
9C-82-81,Vivo Mobile Communication Ltd
B8-D4-3E,Vivo Mobile Communication Ltd
0C-60-46,Vivo Mobile Communication Ltd
8C-67-94,Vivo Mobile Communication Ltd
08-B4-9D,Tecno Mobile Limited
28-93-7D,Sichuan Tianyi Comheart Telecom Ltd
98-7E-E3,Vivo Mobile Communication Ltd
D4-C3-B0,Gearlinx Pty Ltd
E0-70-EA,HP Inc.
94-29-57,Airpo Networks Technology Ltd
40-5F-7D,TCT mobile Ltd
4C-03-4F,Intel Corporation
04-D9-21,Occuspace
98-6E-E8,IEEE Registration Authority
D4-AD-FC,Private
1C-73-E2,Huawei Technologies Ltd
8C-83-E8,Huawei Technologies Ltd
64-57-E5,Beijing Royaltech Ltd
FC-9B-D4,EdgeQ
14-57-90,Qingdao Haier Technology Ltd
F8-29-C0,Availink Inc.
24-B7-2A,China Dragon Technology Limited
34-A5-B4,Navtech PTE Ltd
E8-9F-6D,Espressif Inc.
98-77-CB,Vorteks ED
34-98-B5,Netgear
38-94-61,Renesas Electronics (Penang) Sdn. Bhd.
48-55-19,Espressif Inc.
F8-FC-E1,Amazon Technologies Inc.
70-32-17,Intel Corporation
18-59-F5,Cisco Systems Inc.
14-C9-CF,Sigmastar Technology Ltd
64-44-D5,Private
DC-62-94,Guangzhou Lango Electronics Technology Ltd
5C-46-B0,SIMCom Wireless Solutions Limited
3C-21-9C,Intel Corporation
EC-42-69,HMD Global Oy
28-1D-21,IN ONE Smart Technology(H,K,)Limited
74-E3-36,Fujian Star-NET Communication Ltd
B0-73-9C,Amazon Technologies Inc.
C4-34-5B,Huawei Technologies Ltd
84-BA-20,Silicon Laboratories
00-3C-84,Silicon Laboratories
C0-2C-5C,Apple
D4-57-63,Apple
04-9F-15,Private
48-3E-5E,Sernet (Suzhou) Technologies Corporation
50-EB-F6,ASUSTek Computer Inc.
C4-48-FA,Taicang T&W Electronics
A8-98-92,Guangdong Oppo Mobile Telecommunications Corp Ltd
E0-72-0A,Shenzhen SuperElectron Technology Ltd
60-FF-12,Samsung Electronics Ltd
24-C6-13,Samsung Electronics Ltd
94-E1-29,Samsung Electronics Ltd
D0-A0-D6,ChengDu TD Tech
24-D9-04,Sichuan Changhong Network Technologies Ltd
3C-45-7A,BSkyB Ltd
90-27-59,Nanjing Jiahao Technology Ltd
00-13-CA,ATX
28-04-C6,Wanan Hongsheng Electronic Ltd
D4-79-54,Huawei Device Ltd
C4-4F-96,Alps Alpine
68-58-11,Fiberhome Telecommunication Technologies Ltd
C8-39-AC,Huawei Device Ltd
14-55-94,Huawei Device Ltd
08-C0-6C,Huawei Device Ltd
FC-02-96,Xiaomi Communications Ltd
60-E8-5B,Texas Instruments
EC-2A-72,Dell Inc.
B4-BA-02,Agatel Ltd
14-EB-B6,TP-Link Corporation Limited
54-AF-97,TP-Link Corporation Limited
54-CF-8D,Huawei Technologies Ltd
F8-63-D9,ARRIS Group Inc.
A4-05-D6,ARRIS Group Inc.
DC-A6-33,ARRIS Group Inc.
18-45-B3,IEEE Registration Authority
EC-E7-44,Omntec mfg Inc.
2C-4D-DE,Tecno Mobile Limited
30-3F-7B,Shenzhen YOUHUA Technology Ltd
D4-84-57,GD Midea Air-Conditioning Equipment Ltd
D8-CF-BF,Motorola Mobility LLC, a Lenovo Company
D4-88-66,Huawei Technologies Ltd
00-C0-9B,Tellabs Enterprise Inc.
68-BE-49,Nebula Matrix
94-0D-2D,Universal Electronics Inc.
94-F8-27,Shanghai Imilab Technology Ltd
F0-B0-40,Hunan FN-Link Technology Limited
48-2F-6B,Aruba Networks HP
4C-06-B7,ProDVX Europe B.V.
74-86-E2,Dell Inc.
A8-8C-3E,Microsoft Corporation
F8-14-FE,Unionman Technology Ltd
34-CE-69,Nokia Solutions and Networks GmbH & Co. KG
70-B8-F6,Espressif Inc.
14-9E-5D,JSC IB Reform
F8-25-51,Seiko Epson Corporation
E4-84-D3,Xiaomi Communications Ltd
04-10-6B,Xiaomi Communications Ltd
04-CC-BC,Huawei Technologies Ltd
1C-E5-04,Huawei Technologies Ltd
2C-0B-AB,Huawei Technologies Ltd
E0-A2-5A,Shanghai Mo xiang Network Technology Ltd
14-7E-A1,Britania Eletronicos S.A.
E8-16-56,Hangzhou BroadLink Technology Ltd
94-D2-BC,Huawei Technologies Ltd
74-53-A8,ACL Airshop BV
68-C8-EB,Rockwell Automation
34-85-11,Shenzhen Skyworth Digital Technology Ltd
20-1F-54,Raisecom Technology Ltd
7C-97-E1,Huawei Device Ltd
C8-3E-9E,Huawei Device Ltd
60-DD-70,Apple
98-A5-F9,Apple
E0-D0-45,Intel Corporation
00-0C-36,S-Takaya Electronics Industry Ltd
EC-A9-07,Apple
28-87-BA,TP-Link Corporation Limited
34-60-F9,TP-Link Corporation Limited
64-25-EC,Guangdong kesheng zhixun technology
68-4A-E9,Samsung Electronics Ltd
00-50-E8,Nomadix Inc.
54-AC-FC,LIZN ApS
4C-72-74,Shenzhenshi xinzhongxin Technology Ltd
F4-B8-98,Texas Instruments
B0-D2-78,Texas Instruments
A4-39-B3,Beijing Xiaomi Mobile Software Ltd
6C-FF-CE,Sagemcom Broadband SAS
C8-99-B2,Arcadyan Corporation
B0-38-93,Onda TLC GmbH
1C-9D-72,Technicolor CH USA Inc.
0C-B8-15,Espressif Inc.
80-0C-F9,Amazon Technologies Inc.
A0-92-08,Tuya Smart Inc.
C8-72-7E,Nokia
00-F8-71,Demant A/S
60-A6-C5,Huawei Technologies Ltd
20-8C-86,Huawei Technologies Ltd
F0-A9-51,Huawei Technologies Ltd
00-90-3F,WorldCast Systems
64-D6-9A,Intel Corporation
18-5E-0B,ZTE Corporation
D0-BB-61,ZTE Corporation
AC-73-52,Guangdong Oppo Mobile Telecommunications Corp Ltd
58-8F-CF,Hangzhou Ezviz Software Ltd
94-2A-6F,Ubiquiti Networks Inc.
F4-E2-C6,Ubiquiti Networks Inc.
A8-4F-B1,Cisco Systems Inc.
50-C2-75,GN Audio A/S
3C-E9-F7,Intel Corporation
F4-CE-23,Intel Corporation
7C-8A-E1,Compal Information (Kunshan) Ltd
54-E4-A9,BHR Tech GmbH
20-80-58,Ciena Corporation
68-4A-AE,Huawei Technologies Ltd
60-D7-55,Huawei Technologies Ltd
A4-45-CD,IoT Diagnostics
94-62-69,ARRIS Group Inc.
D0-DD-49,Juniper Networks
C8-63-FC,ARRIS Group Inc.
1C-CC-D6,Xiaomi Communications Ltd
A8-C2-52,Huawei Device Ltd
A0-41-47,Huawei Device Ltd
1C-AE-CB,Huawei Technologies Ltd
4C-F1-9E,Groupe Atlantic
20-36-D7,Shanghai Reacheng Communication Technology Ltd
68-07-0A,TPVision Europe B.V
4C-EB-BD,Chongqing Fugui Electronics Ltd
7C-C9-26,Wuhan GreeNet Information Service Ltd
5C-75-AF,Fitbit Inc.
38-BA-B0,Broadcom
70-87-9E,Beken Corporation
B4-50-62,EmBestor Technology Inc.
04-4A-6C,Huawei Technologies Ltd
38-FB-14,Huawei Technologies Ltd
F0-E4-A2,Huawei Technologies Ltd
7C-51-89,SG Wireless Limited
10-63-C8,Liteon Technology Corporation
58-20-59,Xiaomi Communications Ltd
90-27-2B,Algorab S.r.l.
4C-BC-B4,ABB SpA - DIN Rail
94-D5-05,Fiberhome Telecommunication Technologies Ltd
74-E1-B6,Apple
24-A5-2C,Huawei Technologies Ltd
48-27-59,Levven Electronics Ltd
AC-77-13,Honeywell Safety Products (Shanghai) Ltd
08-84-9D,Amazon Technologies Inc.
90-BD-E6,Quectel Wireless Solutions Ltd
18-A4-A9,Vanu Inc.
80-E8-2C,Hewlett-Packard Company
D4-AD-BD,Cisco Systems Inc.
24-40-AE,NIIC Technology Ltd
F4-0E-01,Apple
14-95-CE,Apple
50-DE-06,Apple
5C-D1-35,Xtreme Power Systems
78-69-D4,Shenyang Vibrotech Instruments Inc.
08-26-97,ZyXEL Communications Corp
CC-CC-CC,Silicon Laboratories
CC-66-0A,Apple
FC-1D-43,Apple
64-CB-9F,Tecno Mobile Limited
4C-FB-FE,Sercomm Japan Corporation
C0-CB-F1,Mobiwire Mobiles (NingBo) Ltd
FC-7D-6C,HYESUNG TECHWIN Ltd
E4-7E-9A,ZTE Corporation
2C-16-BD,IEEE Registration Authority
30-A8-89,Decimator Design
B4-A2-EB,IEEE Registration Authority
1C-D5-E2,Shenzhen YOUHUA Technology Ltd
00-24-E9,Samsung Electronics Ltd
68-3B-78,Cisco Systems Inc.
F8-60-F0,Aruba Networks HP
5C-A1-E0,EmbedWay Technologies
84-D4-12,Palo Alto Networks
68-AB-09,Nokia
F4-CE-36,Nordic Semiconductor ASA
B4-60-77,Sichuan Changhong Electric Ltd
00-F6-20,Google Inc.
F4-33-28,CIMCON Lighting Inc.
7C-94-2A,Huawei Technologies Ltd
1C-B7-96,Huawei Technologies Ltd
38-47-BC,Huawei Technologies Ltd
54-92-09,Huawei Technologies Ltd
74-59-09,Huawei Technologies Ltd
5C-5A-C7,Cisco Systems Inc.
3C-B7-4B,Technicolor CH USA Inc.
00-ED-B8,KYOCERA Corporation
9C-99-CD,Voippartners
C4-C6-03,Cisco Systems Inc.
BC-A1-3A,SES-imagotag
28-23-F5,China Mobile (Hangzhou) Information Technology Ltd
F0-10-AB,China Mobile (Hangzhou) Information Technology Ltd
B4-DC-09,Guangzhou Dawei Communication Ltd
98-86-5D,Nokia Shanghai Bell Ltd
7C-B5-9B,TP-Link Technologies Ltd
2C-4F-52,Cisco Systems Inc.
68-A0-3E,Huawei Technologies Ltd
B8-C3-85,Huawei Technologies Ltd
4C-E9-E4,New H3C Technologies Ltd
AC-DB-48,ARRIS Group Inc.
C8-0D-32,Holoplot GmbH
D0-57-94,Sagemcom Broadband SAS
04-D9-F5,ASUSTek Computer Inc.
B8-91-C9,Handreamnet
C8-A7-76,Huawei Technologies Ltd
A4-00-E2,Huawei Technologies Ltd
B4-C4-FC,Xiaomi Communications Ltd
C8-D6-9D,Arab International Optronics
40-5B-D8,Chongqing Fugui Electronics Ltd
54-EC-2F,Ruckus Wireless
28-99-C7,Lindsay Broadband Inc
FC-BD-67,Arista Networks
00-25-7E,NEW POS Technology Limited
F8-AE-27,John Deere Electronic Solutions
74-45-CE,Cresyn
C4-F7-D5,Cisco Systems Inc.
1C-64-99,Comtrend Corporation
10-DC-4A,Fiberhome Telecommunication Technologies Ltd
88-EF-16,ARRIS Group Inc.
8C-A9-6F,D&M Holdings Inc.
7C-D6-61,Xiaomi Communications Ltd
B0-FD-0B,IEEE Registration Authority
98-B8-BA,LG Electronics (Mobile Communications)
0C-E9-9A,Atls Altec
4C-11-AE,Espressif Inc.
8C-89-FA,Zhejiang Hechuan Technology Ltd
4C-BC-48,Cisco Systems Inc.
80-D0-4A,Technicolor CH USA Inc.
48-D8-75,China TransInfo Technology Ltd
D4-78-9B,Cisco Systems Inc.
48-3F-E9,Huawei Technologies Ltd
14-3C-C3,Huawei Technologies Ltd
A8-E5-44,Huawei Technologies Ltd
18-20-D5,ARRIS Group Inc.
30-50-FD,Skyworth Digital Technology(Shenzhen) Ltd
00-40-BC,Algorithmics Ltd
00-40-65,GTE Spacenet
88-E6-4B,Juniper Networks
D8-D0-90,Dell Inc.
50-C4-DD,Buffalo Inc.
00-84-ED,Private
E0-02-A5,ABB Robotics
F4-2E-7F,Aruba Networks HP
B4-CC-04,Piranti
B8-D5-26,ZyXEL Communications Corp
F0-B9-68,Itel Mobile Limited
04-E5-6E,THUB Ltd
1C-7F-2C,Huawei Technologies Ltd
88-BC-C1,Huawei Technologies Ltd
1C-BF-CE,Shenzhen Century Xinyang Technology Ltd
F8-30-02,Texas Instruments
A8-A1-59,ASRock Incorporation
78-DA-07,Zhejiang Tmall Technology Ltd
44-A6-1E,Ingram Micro Services
38-D2-CA,Zhejiang Tmall Technology Ltd
10-9E-3A,Zhejiang Tmall Technology Ltd
90-4D-C3,Flonidan A/S
00-0D-F1,Ionix Inc.
00-07-7C,Westermo Network Technologies AB
8C-42-6D,Huawei Technologies Ltd
90-F8-91,Kaonmedia Ltd
44-5D-5E,Shenzhen Coolkit Technology Ltd
50-AD-71,Tessolve Semiconductor Private Limited
20-2A-C5,Petite-En
A8-BF-3C,HDV Phoelectron Technology Limited
D4-F5-27,Siemens AG
B8-B2-F8,Apple
98-46-0A,Apple
B8-5D-0A,Apple
7C-9A-1D,Apple
10-30-25,Apple
70-AC-D7,Shenzhen YOUHUA Technology Ltd
54-62-E2,Apple
14-9D-99,Apple
14-7B-AC,Nokia
90-6D-05,BXB Electronics Ltd
D4-BB-C8,Vivo Mobile Communication Ltd
48-95-07,Guangdong Oppo Mobile Telecommunications Corp Ltd
24-BF-74,Private
CC-DC-55,Dragonchip Limited
28-FF-B2,Toshiba Corp.
1C-60-D2,Fiberhome Telecommunication Technologies Ltd
F4-B5-AA,ZTE Corporation
E8-AC-AD,ZTE Corporation
08-36-C9,Netgear
74-5B-C5,IEEE Registration Authority
94-40-C9,Hewlett Packard Enterprise
A0-41-A7,NL Ministry Of Defense
E4-46-DA,Xiaomi Communications Ltd
1C-12-B0,Amazon Technologies Inc.
4C-BC-98,IEEE Registration Authority
2C-F4-32,Espressif Inc.
64-73-66,Shenzhen Siera Technology Ltd
04-1E-FA,BISSELL Homecare Inc.
D8-55-75,Samsung Electronics Ltd
D4-11-A3,Samsung Electronics Ltd
04-BA-8D,Samsung Electronics Ltd
74-4D-28,Routerboard.com
00-A0-85,Private
E0-5A-9F,IEEE Registration Authority
8C-5A-F8,Beijing Xiaomi Electronics Ltd
D4-58-00,Fiberhome Telecommunication Technologies Ltd
90-84-2B,LEGO System A/S
00-26-7E,Parrot SA
2C-55-7C,Shenzhen YOUHUA Technology Ltd
F4-BC-DA,Shenzhen Jingxun Software Telecommunication Technology Ltd
00-09-15,CAS Corp.
58-D9-C3,Motorola Mobility LLC, a Lenovo Company
2C-73-A0,Cisco Systems Inc.
44-3E-07,Electrolux
84-85-E6,Guangdong Asano Technology Ltd
3C-83-75,Microsoft Corporation
00-0A-A8,ePipe Pty Ltd
00-29-C2,Cisco Systems Inc.
18-7C-0B,Ruckus Wireless
D4-7B-35,NEO Monitors AS
00-08-78,Benchmark Storage Innovations
6C-F3-7F,Aruba Networks HP
14-07-08,Private
78-A7-EB,1MORE
48-5D-36,Verizon
20-C0-47,Verizon
34-6B-46,Sagemcom Broadband SAS
7C-60-4A,Avelon
18-64-72,Aruba Networks HP
84-D4-7E,Aruba Networks HP
24-DE-C6,Aruba Networks HP
00-17-A0,RoboTech srl
10-3D-0A,Hui Zhou Gaoshengda Technology Ltd
94-27-90,TCT mobile Ltd
A4-17-91,Shenzhen Decnta Technology Ltd
34-DA-B7,ZTE Corporation
10-9C-70,Prusa Research s.r.o.
E8-4C-56,Intercept Services Limited
A4-19-08,Fiberhome Telecommunication Technologies Ltd
80-D3-36,Cern
64-25-5E,Observint Technologies Inc.
90-94-0A,Analog Devices Inc.
40-B0-76,ASUSTek Computer Inc.
D4-3D-39,Dialog Semiconductor
00-14-A5,Gemtek Technology Ltd
C0-B5-D7,Chongqing Fugui Electronics Ltd
D4-AD-71,Cisco Systems Inc.
70-2B-1D,E-Domus International Limited
F0-85-C1,Shenzhen RF-Link Technology Ltd
4C-DD-7D,LHP Telematics LLC
B8-BC-5B,Samsung Electronics Ltd
10-8E-BA,Molekule
4C-21-8C,Panasonic India Private limited
2C-4E-7D,Chunghua Intelligent Network Equipment Inc.
A4-F4-65,Itel Mobile Limited
4C-91-7A,IEEE Registration Authority
74-3A-65,NEC Corporation
00-25-5C,NEC Corporation
68-4F-64,Dell Inc.
CC-70-ED,Cisco Systems Inc.
90-7E-30,Lars
84-EB-3E,Vivint Smart Home
00-A0-D5,Sierra Wireless
18-BB-26,FN-Link Technology Limited
18-B9-05,Hong Kong Bouffalo Lab Limited
EC-F0-FE,ZTE Corporation
94-A4-0C,Diehl Metering GmbH
70-B3-17,Cisco Systems Inc.
B0-02-47,AMPAK Technology Inc.
BC-E7-96,Wireless CCTV Ltd
94-8F-CF,ARRIS Group Inc.
A8-F5-DD,ARRIS Group Inc.
44-D3-AD,Shenzhen TINNO Mobile Technology Corp.
9C-82-75,Yichip Microelectronics (Hangzhou) Ltd
5C-CB-CA,Fujian Star-NET Communication Ltd
28-E9-8E,Mitsubishi Electric Corporation
34-F8-E7,Cisco Systems Inc.
B0-90-7E,Cisco Systems Inc.
2C-73-60,Earda Technologies Ltd
50-8C-F5,China Mobile Group Device Ltd
1C-54-9E,Universal Electronics Inc.
E4-CA-12,ZTE Corporation
D4-9E-05,ZTE Corporation
58-5F-F6,ZTE Corporation
40-B3-0E,Integrated Device Technology (Malaysia) Sdn. Bhd.
04-CE-7E,NXP France Semiconductors France
C0-9A-D0,Apple
94-B0-1F,Apple
98-CC-4D,Shenzhen mantunsci Ltd
B8-C7-4A,Guangdong Oppo Mobile Telecommunications Corp Ltd
D8-CE-3A,Xiaomi Communications Ltd
10-2C-6B,AMPAK Technology Inc.
74-85-C4,New H3C Technologies Ltd
94-F6-D6,Apple
F8-2D-7C,Apple
D0-BA-E4,Shanghai MXCHIP Information Technology Ltd
48-D3-5D,Private
80-FB-F0,Quectel Wireless Solutions Ltd
C0-13-2B,Sichuan Changhong Electric Ltd
0C-B4-A4,Xintai Automobile Intelligent Network Technology
90-63-3B,Samsung Electronics Ltd
FC-AA-B6,Samsung Electronics Ltd
C8-2E-47,Suzhou SmartChip Semiconductor Ltd
C0-22-50,Koss Corporation
A0-B5-49,Arcadyan Corporation
00-1F-5A,Beckwith Electric Co.
98-5D-82,Arista Networks
24-53-BF,Enernet
04-33-85,Nanchang BlackShark Ltd
84-E5-D8,Guangdong UNIPOE IoT Technology Ltd
A8-BC-9C,Cloud Light Technology Limited
A8-90-42,Beijing Wanwei Intelligent Technology Ltd
18-BE-92,Delta Networks Inc.
90-C5-4A,Vivo Mobile Communication Ltd
BC-75-96,Beijing Broadwit Technology Ltd
1C-34-DA,Mellanox Technologies Inc.
2C-A0-2F,Veroguard Systems Pty Ltd
6C-5C-3D,IEEE Registration Authority
78-23-27,Samsung Electronics Ltd
DC-F7-56,Samsung Electronics Ltd
68-A4-7D,Sun Cupid Technology (HK) Ltd
18-4B-0D,Ruckus Wireless
D4-12-43,AMPAK Technology Inc.
48-A6-B8,Sonos Inc.
B8-78-26,Nintendo Ltd
DC-CB-A8,Explora Technologies Inc
C0-78-78,Flextronics Manufacturing(Zhuhai) Ltd
E4-B9-7A,Dell Inc.
34-DA-C1,SAE Technologies Development(Dongguan) Ltd
70-5D-CC,EFM Networks
D0-92-FA,Fiberhome Telecommunication Technologies Ltd
E8-5A-D1,Fiberhome Telecommunication Technologies Ltd
A8-23-FE,LG Electronics
E0-5D-5C,Oy Everon Ab
68-8F-2E,Hitron Technologies Inc.
E0-46-E5,Gosuncn Technology Group Ltd
1C-59-9B,Huawei Technologies Ltd
D4-BD-1E,5VT Technologies,Taiwan Ltd
BC-9B-68,Technicolor CH USA Inc.
CC-D4-A1,MitraStar Technology Corp.
08-BA-5F,Qingdao Hisense Electronics Ltd
10-DF-FC,Siemens AG
84-7F-3D,Integrated Device Technology (Malaysia) Sdn. Bhd.
C4-FD-E6,Drtech
CC-98-8B,SONY Visual Products Inc.
30-E3-D6,Spotify USA Inc.
9C-A5-25,Shandong USR IOT Technology Limited
E0-45-6D,China Mobile Group Device Ltd
28-39-26,CyberTAN Technology Inc.
8C-FC-A0,Shenzhen Smart Device Technology Ltd
1C-42-7D,Guangdong Oppo Mobile Telecommunications Corp Ltd
80-69-33,Huawei Technologies Ltd
BC-26-C7,Cisco Systems Inc.
BC-5E-A1,PsiKick Inc.
94-4F-4C,Sound United LLC
18-81-0E,Apple
60-8C-4A,Apple
74-B5-87,Apple
FC-B6-D8,Apple
3C-6A-2C,IEEE Registration Authority
24-1B-7A,Apple
8C-FE-57,Apple
C0-A6-00,Apple
18-E8-29,Ubiquiti Networks Inc.
E0-C2-86,Aisai Communication Technology Ltd
74-05-A5,TP-Link Technologies Ltd
28-6D-CD,Beijing Winner Microelectronics Ltd
54-10-31,Smarto
44-A4-66,Groupe Ldlc
D8-0D-17,TP-Link Technologies Ltd
18-C2-BF,Buffalo Inc.
E8-1C-BA,Fortinet Inc.
F0-B0-14,AVM Audiovisuelles Marketing und Computersysteme GmbH
18-89-A0,Wuhan Funshion Online Technologies Ltd
0C-2A-86,Fiberhome Telecommunication Technologies Ltd
FC-61-E9,Fiberhome Telecommunication Technologies Ltd
40-56-62,GuoTengShengHua Electronics Ltd
E4-DB-6D,Beijing Xiaomi Electronics Ltd
00-A0-D1,Inventec Corporation
00-18-CC,Axiohm SAS
00-18-27,NEC Unified Solutions Nederland B.V.
